"scenario_index","return_code","elapsed_seconds","log_file","command"
"31","0","156.36605569999847","outputs/revised_model/main_run/logs/scenario_031.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""31"",""--reuse-gate-files""]"
"32","0","149.06783420000102","outputs/revised_model/main_run/logs/scenario_032.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""32"",""--reuse-gate-files""]"
"33","0","154.01851560000068","outputs/revised_model/main_run/logs/scenario_033.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""33"",""--reuse-gate-files""]"
"34","0","52.23333699999967","outputs/revised_model/main_run/logs/scenario_034.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""34"",""--reuse-gate-files""]"
"35","0","70.02281500000026","outputs/revised_model/main_run/logs/scenario_035.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""35"",""--reuse-gate-files""]"
"36","0","85.30498280000029","outputs/revised_model/main_run/logs/scenario_036.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""36"",""--reuse-gate-files""]"
"37","0","99.07619420000084","outputs/revised_model/main_run/logs/scenario_037.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""37"",""--reuse-gate-files""]"
"38","0","105.93026830000052","outputs/revised_model/main_run/logs/scenario_038.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""38"",""--reuse-gate-files""]"
"39","0","115.7432331","outputs/revised_model/main_run/logs/scenario_039.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""39"",""--reuse-gate-files""]"
"40","0","128.44322069999907","outputs/revised_model/main_run/logs/scenario_040.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--scenario-index"",""40"",""--reuse-gate-files""]"
