gene_id,gene_name,essential_status,phenotype_summary,evidence_count,source_file
S000000133,APL3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000134,MRPL16,Ambiguous,null | viable ; null | desiccation resistance: decreased | less than 10% viability after dehydration stress,2,./data\raw\sgd\phenotype_data.tab
S000000135,URA7,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000136,S000000136,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000137,PRE7,Essential,null | inviable,2,./data\raw\sgd\phenotype_data.tab
S000000138,FUI1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000139,ECM13,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000140,YBL044W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000141,COR1,Ambiguous,null | viable ; null | desiccation resistance: decreased | less than 10% viability after dehydration stress,2,./data\raw\sgd\phenotype_data.tab
S000000142,PSY4,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000143,EDE1,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000144,RRT1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000145,MOH1,Ambiguous,"null | viable ; null | survival rate in stationary phase: decreased | 10,000-fold reduction in colony-forming potential after 25 days in water, without losing viability",2,./data\raw\sgd\phenotype_data.tab
S000000146,S000000146,Essential,repressible | mitochondrial morphology: abnormal | doxycycline (10ug/ml) | Tet-regulated essential ORF strain collection; doxycycline represses expression ; null | inviable,3,./data\raw\sgd\phenotype_data.tab
S000000147,PIN4,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000148,SAS3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000149,YBL053W,Ambiguous,null | viable ; null | desiccation resistance: decreased | less than 10% viability after dehydration stress,2,./data\raw\sgd\phenotype_data.tab
S000000150,TOD6,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000151,YBL055C,Unknown,null | viable,2,./data\raw\sgd\phenotype_data.tab
S000000152,PTC3,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000153,PTH2,Ambiguous,null | viable ; null | desiccation resistance: decreased | less than 10% viability after dehydration stress,2,./data\raw\sgd\phenotype_data.tab
S000000154,SHP1,Ambiguous,"null | viable ; null | resistance to chemicals: decreased | tannic acid (400µM) | YPD | decreased survival on sub-lethal levels of the polyphenol, tannic acid ; null | inviable",4,./data\raw\sgd\phenotype_data.tab
S000000155,S000000155,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000156,YEL1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000157,SKT5,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000158,YBL062W,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000159,KIP1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
S000000160,PRX1,Unknown,null | viable,1,./data\raw\sgd\phenotype_data.tab
