scope,model_key,alpha,p_event,history_class,gate_failing_trajectories
scenario,linear_distance,2.0,0.12,mixed_inversion_duplication,139
scenario,linear_distance,2.0,0.15,deletion_only,1538
scenario,linear_distance,2.0,0.15,duplication_only_history,214
scenario,linear_distance,2.0,0.15,earlier_deletion_only,459
scenario,linear_distance,2.0,0.15,earlier_deletion_with_nondeletion,682
scenario,linear_distance,2.0,0.15,inversion_only_history,743
scenario,linear_distance,2.0,0.15,mixed_inversion_duplication,191
scenario,linear_distance,2.0,0.18,deletion_only,1597
scenario,linear_distance,2.0,0.18,duplication_only_history,251
scenario,linear_distance,2.0,0.18,earlier_deletion_only,505
scenario,linear_distance,2.0,0.18,earlier_deletion_with_nondeletion,957
scenario,linear_distance,2.0,0.18,inversion_only_history,850
scenario,linear_distance,2.0,0.18,mixed_inversion_duplication,283
scenario,linear_distance,2.0,0.2,deletion_only,1613
scenario,linear_distance,2.0,0.2,duplication_only_history,259
scenario,linear_distance,2.0,0.2,earlier_deletion_only,525
scenario,linear_distance,2.0,0.2,earlier_deletion_with_nondeletion,1193
scenario,linear_distance,2.0,0.2,inversion_only_history,862
scenario,linear_distance,2.0,0.2,mixed_inversion_duplication,293
scenario,linear_distance,2.0,0.25,deletion_only,1584
scenario,linear_distance,2.0,0.25,duplication_only_history,259
scenario,linear_distance,2.0,0.25,earlier_deletion_only,591
scenario,linear_distance,2.0,0.25,earlier_deletion_with_nondeletion,1665
scenario,linear_distance,2.0,0.25,inversion_only_history,1035
scenario,linear_distance,2.0,0.25,mixed_inversion_duplication,398
scenario,linear_distance,2.0,0.3,deletion_only,1592
scenario,linear_distance,2.0,0.3,duplication_only_history,270
scenario,linear_distance,2.0,0.3,earlier_deletion_only,597
scenario,linear_distance,2.0,0.3,earlier_deletion_with_nondeletion,2301
scenario,linear_distance,2.0,0.3,inversion_only_history,1058
scenario,linear_distance,2.0,0.3,mixed_inversion_duplication,472
scenario,partial_hic_fallback,0.5,0.03,deletion_only,1619
scenario,partial_hic_fallback,0.5,0.03,duplication_only_history,48
scenario,partial_hic_fallback,0.5,0.03,earlier_deletion_only,40
scenario,partial_hic_fallback,0.5,0.03,earlier_deletion_with_nondeletion,8
scenario,partial_hic_fallback,0.5,0.03,inversion_only_history,193
scenario,partial_hic_fallback,0.5,0.03,mixed_inversion_duplication,8
scenario,partial_hic_fallback,0.5,0.05,deletion_only,2297
scenario,partial_hic_fallback,0.5,0.05,duplication_only_history,135
scenario,partial_hic_fallback,0.5,0.05,earlier_deletion_only,84
scenario,partial_hic_fallback,0.5,0.05,earlier_deletion_with_nondeletion,33
scenario,partial_hic_fallback,0.5,0.05,inversion_only_history,440
scenario,partial_hic_fallback,0.5,0.05,mixed_inversion_duplication,30
scenario,partial_hic_fallback,0.5,0.07,deletion_only,2769
scenario,partial_hic_fallback,0.5,0.07,duplication_only_history,194
scenario,partial_hic_fallback,0.5,0.07,earlier_deletion_only,128
scenario,partial_hic_fallback,0.5,0.07,earlier_deletion_with_nondeletion,71
scenario,partial_hic_fallback,0.5,0.07,inversion_only_history,678
scenario,partial_hic_fallback,0.5,0.07,mixed_inversion_duplication,62
scenario,partial_hic_fallback,0.5,0.09,deletion_only,3051
scenario,partial_hic_fallback,0.5,0.09,duplication_only_history,291
scenario,partial_hic_fallback,0.5,0.09,earlier_deletion_only,175
scenario,partial_hic_fallback,0.5,0.09,earlier_deletion_with_nondeletion,132
scenario,partial_hic_fallback,0.5,0.09,inversion_only_history,928
scenario,partial_hic_fallback,0.5,0.09,mixed_inversion_duplication,147
scenario,partial_hic_fallback,0.5,0.1,deletion_only,3061
scenario,partial_hic_fallback,0.5,0.1,duplication_only_history,329
scenario,partial_hic_fallback,0.5,0.1,earlier_deletion_only,197
scenario,partial_hic_fallback,0.5,0.1,earlier_deletion_with_nondeletion,182
scenario,partial_hic_fallback,0.5,0.1,inversion_only_history,1070
scenario,partial_hic_fallback,0.5,0.1,mixed_inversion_duplication,168
scenario,partial_hic_fallback,0.5,0.12,deletion_only,3317
scenario,partial_hic_fallback,0.5,0.12,duplication_only_history,387
scenario,partial_hic_fallback,0.5,0.12,earlier_deletion_only,231
