sgd_gene_id,gene_name,precursor_event_type,n_precursor_events,n_trajectories,pair_activation_events,hazard_increase_events,hazard_increase_event_fraction,trajectories_with_pair_activation,trajectories_with_hazard_increase,hazard_increase_trajectory_fraction
S000000170,AAR2,inversion,17768,11692,0,1285,0.07232102656461054,0,1236,0.10571330824495381
S000000172,ILS1,inversion,17059,11226,0,1234,0.07233718271879946,0,1188,0.10582576162479958
S000000173,YBL077W,inversion,17059,11226,0,1234,0.07233718271879946,0,1188,0.10582576162479958
S000000180,CDC27,inversion,15646,10302,0,1136,0.07260641697558481,0,1093,0.10609590370801786
S000000344,IRA1,duplication,14412,12409,1068,1037,0.07195392728281987,1068,1037,0.08356837779031348
S000000346,MAK5,duplication,14412,12409,1068,1037,0.07195392728281987,1068,1037,0.08356837779031348
S000000347,SUP45,duplication,14412,12409,1068,1037,0.07195392728281987,1068,1037,0.08356837779031348
S000000313,CMD1,duplication,14864,12784,1059,1035,0.0696313240043057,1059,1035,0.08096057571964956
S000000314,ALG1,duplication,14864,12784,1059,1035,0.0696313240043057,1059,1035,0.08096057571964956
S000000306,EXO84,duplication,15008,12901,1060,1034,0.06889658848614072,1060,1034,0.0801488256724285
S000000340,MEC1,duplication,14472,12468,1058,1031,0.07124101713653952,1058,1031,0.08269169072826435
S000000328,YBR124W,duplication,14814,12755,1052,1030,0.0695288240853247,1052,1030,0.08075264602116818
S000000325,GRS1,duplication,14799,12752,1050,1025,0.06926143658355294,1050,1025,0.08037954830614806
S000000356,SPP381,duplication,14357,12384,1043,1015,0.07069722086786934,1043,1015,0.08196059431524548
S000000357,RIB7,duplication,14357,12384,1043,1015,0.07069722086786934,1043,1015,0.08196059431524548
S000000358,RPB5,duplication,14357,12384,1043,1015,0.07069722086786934,1043,1015,0.08196059431524548
S000000359,CNS1,duplication,14357,12384,1043,1015,0.07069722086786934,1043,1015,0.08196059431524548
S000000291,RFC5,duplication,14970,12842,1043,1010,0.0674682698730795,1043,1010,0.07864818564086591
S000000292,POL30,duplication,14970,12842,1043,1010,0.0674682698730795,1043,1010,0.07864818564086591
S000000293,YBR089W,duplication,14970,12842,1043,1010,0.0674682698730795,1043,1010,0.07864818564086591
S000000295,TIM12,duplication,15002,12878,1040,1007,0.0671243834155446,1040,1007,0.07819537195216648
S000000283,RPG1,duplication,14903,12772,1018,988,0.0662953767697779,1018,988,0.07735671782023176
S000000284,SEC18,duplication,14903,12772,1018,988,0.0662953767697779,1018,988,0.07735671782023176
S000000274,ALG14,duplication,14827,12716,987,956,0.06447696769407163,987,956,0.07518087448883297
S000000371,POP7,duplication,14240,12207,953,931,0.06537921348314607,953,931,0.07626771524535103
S000000259,PRP6,duplication,14717,12638,946,918,0.0623768431066114,946,918,0.07263807564488052
S000000253,REB1,duplication,14712,12621,930,905,0.06151441000543774,930,905,0.07170588701370731
S000000242,CHS2,duplication,14627,12519,903,877,0.05995761263416969,903,877,0.0700535186516495
S000000394,YBR190W,duplication,12776,10931,870,851,0.06660926737633062,870,851,0.07785198060561706
S000000233,CDS1,duplication,14340,12220,880,849,0.059205020920502095,880,849,0.06947626841243862
S000000396,RIM2,duplication,12652,10825,858,838,0.06623458741700917,858,838,0.07741339491916858
S000000397,MED8,duplication,12652,10825,858,838,0.06623458741700917,858,838,0.07741339491916858
S000000400,PGI1,duplication,12314,10529,849,829,0.06732174760435276,849,829,0.07873492259473834
S000000402,TAF5,duplication,12314,10529,849,829,0.06732174760435276,849,829,0.07873492259473834
S000000188,RPL32,inversion,11374,7506,0,783,0.06884121681026903,0,760,0.1012523314681588
S000000215,IPP1,duplication,13733,11750,804,775,0.056433408577878104,804,775,0.06595744680851064
S000000415,AME1,duplication,11770,10092,791,773,0.06567544604927783,791,773,0.07659532302814111
S000000208,GPI18,duplication,13454,11524,770,746,0.05544819384569645,770,746,0.06473446719888927
S000000193,BRN1,inversion,10488,6931,0,719,0.06855453852021358,0,696,0.100418410041841
S000000100,UTP20,duplication,13051,11165,719,699,0.05355911424411922,719,699,0.0626063591580833
S000000110,RRN6,duplication,12230,10480,668,647,0.05290269828291087,668,647,0.061736641221374046
S000000114,POP8,duplication,11808,10087,640,623,0.05276084010840108,640,623,0.06176266481609993
S000000116,RFT1,duplication,11687,9980,631,617,0.052793702404380936,631,617,0.061823647294589175
S000007595,DAD3,duplication,9540,8197,630,615,0.06446540880503145,630,615,0.07502744906673173
S000000440,ABD1,duplication,9281,7958,620,607,0.06540243508242646,620,607,0.0762754460919829
S000000441,PRP5,duplication,9281,7958,620,607,0.06540243508242646,620,607,0.0762754460919829
S000000447,ALG7,duplication,9031,7737,601,589,0.06521979847193002,601,589,0.07612769807418897
S000000122,LSM2,duplication,10980,9368,588,576,0.05245901639344262,588,576,0.06148590947907771
S000000126,PET9,duplication,10791,9207,569,557,0.05161708831433602,569,557,0.060497447594221786
S000000451,ENP1,duplication,8747,7490,550,540,0.06173545215502458,550,540,0.07209612817089453
S000000130,STU1,duplication,10449,8886,546,536,0.0512967748109867,546,536,0.06031960387125816
S000000131,POL12,duplication,10449,8886,546,536,0.0512967748109867,546,536,0.06031960387125816
S000000136,ERD2,duplication,9926,8450,506,496,0.04996977634495265,506,496,0.058698224852071004
S000000137,PRE7,duplication,9926,8450,506,496,0.04996977634495265,506,496,0.058698224852071004
S000000457,SRB6,duplication,8200,7015,494,482,0.058780487804878045,494,482,0.06870990734141126
S000000458,TRS20,duplication,8200,7015,494,482,0.058780487804878045,494,482,0.06870990734141126
S000000460,RIB5,duplication,8126,6942,482,469,0.05771597341865616,482,469,0.0675597810429271
S000000461,POP4,duplication,8126,6942,482,469,0.05771597341865616,482,469,0.0675597810429271
S000000146,SEC17,duplication,9190,7805,456,446,0.0485310119695321,456,446,0.05714285714285714
S000000469,TSC10,duplication,7047,6018,370,360,0.05108556832694764,370,360,0.05982053838484546
S000000169,YBL073W,duplication,6188,5275,279,275,0.04444085326438268,279,275,0.052132701421800945
S000000170,AAR2,duplication,6188,5275,279,275,0.04444085326438268,279,275,0.052132701421800945
S000000172,ILS1,duplication,5939,5038,262,258,0.04344165684458663,262,258,0.051210797935688765
S000000173,YBL077W,duplication,5939,5038,262,258,0.04344165684458663,262,258,0.051210797935688765
S000000180,CDC27,duplication,5373,4588,233,229,0.042620509957193374,233,229,0.0499128160418483
S000000201,PKC1,inversion,2947,1951,0,226,0.07668815744825246,0,217,0.11122501281394157
S000000188,RPL32,duplication,3995,3382,151,147,0.03679599499374218,151,147,0.04346540508574808
S000000193,BRN1,duplication,3657,3101,140,137,0.037462400875034184,140,137,0.04417929700096743
S000000631,YCR035C,inversion,7324,4929,0,93,0.01269797924631349,0,93,0.018867924528301886
S000000635,YCR039C,inversion,7324,4929,0,93,0.01269797924631349,0,93,0.018867924528301886
S000000638,YCR042C,inversion,7324,4929,0,93,0.01269797924631349,0,93,0.018867924528301886
S000000510,YCL004W,inversion,7439,5075,0,91,0.012232826992875387,0,91,0.01793103448275862
S000000650,YCR054C,inversion,6824,4623,0,90,0.013188745603751465,0,90,0.01946787800129786
S000000653,YCR057C,inversion,6824,4623,0,90,0.013188745603751465,0,90,0.01946787800129786
S000000605,YCR012W,inversion,7954,5399,0,85,0.010686447070656274,0,85,0.015743656232635673
