scope,model_key,alpha,p_event,precursor_event_type,n_precursor_events,n_trajectories,same_chromosome_fraction,final_pair_activation_fraction,proposal_probability_increase_fraction,final_pair_lethal_hazard_increase_fraction,hazard_increase_ci_low_event_level,hazard_increase_ci_high_event_level,median_proposal_log2_ratio_when_nonzero,median_distance_change_when_observable,n_total_hazard_sampled,total_lethal_hazard_increase_fraction_sample,median_total_hazard_log2_ratio_nonzero_sample
scenario,linear_distance,2.0,0.2,inversion,3301,2166,0.4295667979400182,0.0,0.00545289306270827,0.0069675855801272345,0.004647416646334683,0.010433929748563076,0.0,0.0,50,0.1,0.0
scenario,linear_distance,2.0,0.25,duplication,1730,1420,0.423121387283237,0.007514450867052023,0.007514450867052023,0.007514450867052023,0.004396751938519362,0.012814428858248161,-0.0062234121466629,0.0,50,0.0,-0.00580869410624005
scenario,linear_distance,2.0,0.25,inversion,4811,2894,0.4360839742257327,0.0,0.003949282893369362,0.0047807108709208065,0.003187826011554742,0.007163804306279622,0.0,0.0,50,0.08,0.0
scenario,linear_distance,2.0,0.3,duplication,2400,1904,0.43875,0.005416666666666667,0.005416666666666667,0.005416666666666667,0.0031683022906319,0.009245768825078915,-0.0062234121466629,0.0,50,0.0,-0.0073825704341219
scenario,linear_distance,2.0,0.3,inversion,6410,3551,0.42839313572542903,0.0,0.0035881435257410295,0.0042121684867394696,0.002896550659242924,0.0061216733165223546,0.0,0.0,50,0.06,0.0
scenario,partial_hic_fallback,0.5,0.03,duplication,60,57,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.026228698724506214,0.1592535731319717,-0.06727781478549524,0.0,50,0.1,-0.01849776305788695
scenario,partial_hic_fallback,0.5,0.03,inversion,236,208,0.6694915254237288,0.0,0.0423728813559322,0.0423728813559322,0.023176352195936934,0.07622872538290668,0.0,0.0,50,0.58,0.00081300676152805
scenario,partial_hic_fallback,0.5,0.05,duplication,181,172,0.6464088397790055,0.08839779005524862,0.08839779005524862,0.08839779005524862,0.055144023951642356,0.13875976283605126,-0.09834431168912075,0.0,50,0.06,-0.050475664561917696
scenario,partial_hic_fallback,0.5,0.05,inversion,562,499,0.6548042704626335,0.0,0.05871886120996441,0.06227758007117438,0.04511722891239606,0.0853812661512067,0.0,0.0,50,0.64,0.00137876175154735
scenario,partial_hic_fallback,0.5,0.07,duplication,305,285,0.6721311475409836,0.06885245901639345,0.06885245901639345,0.06885245901639345,0.045471502547842074,0.10295888952367241,-0.08132260592175386,0.0,50,0.12,-0.01191497779664765
scenario,partial_hic_fallback,0.5,0.07,inversion,931,789,0.6723952738990333,0.0,0.06659505907626208,0.06659505907626208,0.052294939097752874,0.08445708191548565,0.0,0.0,50,0.6,0.0004261409704398
scenario,partial_hic_fallback,0.5,0.09,duplication,509,484,0.6836935166994106,0.08644400785854617,0.08644400785854617,0.08644400785854617,0.06502371574561552,0.11405981434161333,-0.0803157434035656,0.0,50,0.08,-0.05293429237722905
scenario,partial_hic_fallback,0.5,0.09,inversion,1446,1182,0.6839557399723375,0.0,0.056016597510373446,0.059474412171507604,0.04841165300577478,0.07287157955106224,0.0,0.0,50,0.7,0.0008876065158921501
scenario,partial_hic_fallback,0.5,0.1,duplication,615,570,0.6715447154471544,0.08943089430894309,0.08943089430894309,0.08617886178861789,0.06648890091781381,0.11100641271229655,-0.0803157434035656,0.0,50,0.06,-0.06380041459384075
scenario,partial_hic_fallback,0.5,0.1,inversion,1742,1375,0.642939150401837,0.0,0.0539609644087256,0.0574052812858783,0.04742427935152395,0.0693340080581403,0.0,0.0,50,0.7,0.0011995240163126001
scenario,partial_hic_fallback,0.5,0.12,duplication,825,735,0.6496969696969697,0.09090909090909091,0.09090909090909091,0.08848484848484849,0.07096395299582865,0.10982026963933493,-0.067049251066388,0.0,50,0.06,-0.04873685534603085
scenario,partial_hic_fallback,0.5,0.12,inversion,2337,1797,0.6846384253316218,0.0,0.06375695335900727,0.06632434745400086,0.056930106940972065,0.07714196258688313,0.0,0.0,50,0.64,0.00150218772082405
scenario,partial_hic_fallback,0.5,0.15,duplication,1141,1007,0.684487291849255,0.09553023663453111,0.09553023663453111,0.09290096406660824,0.07739595326088743,0.11113797618208827,-0.0733062915870224,0.0,50,0.04,-0.040232720647873255
scenario,partial_hic_fallback,0.5,0.15,inversion,3041,2216,0.6724761591581716,0.0,0.0654390003288392,0.06806971390989806,0.059651954061622756,0.07757734489259256,0.0,0.0,50,0.64,0.0011271136244893499
scenario,partial_hic_fallback,0.5,0.18,duplication,1439,1257,0.6587908269631688,0.09312022237665045,0.09312022237665045,0.09034051424600417,0.0765992975664454,0.10626310717506021,-0.0714767655415291,0.0,50,0.12,-0.02424286193039785
scenario,partial_hic_fallback,0.5,0.18,inversion,4313,2956,0.6807326686760955,0.0,0.06005100857871551,0.06329700904242987,0.056411538196261726,0.07095970396441374,0.0,0.0,50,0.64,0.0010142125410872
scenario,partial_hic_fallback,0.5,0.2,duplication,1654,1420,0.6777509068923822,0.09371221281741234,0.09371221281741234,0.08645707376058041,0.07385317664766311,0.10097744860818789,-0.0670492510663878,0.0,50,0.16,-0.0505512893965053
scenario,partial_hic_fallback,0.5,0.2,inversion,4688,3156,0.6793941979522184,0.0,0.059726962457337884,0.06228668941979522,0.05572051911457405,0.06956961781354999,0.0,0.0,50,0.6,0.00032803445053075
scenario,partial_hic_fallback,0.5,0.25,duplication,2177,1801,0.6554892053284336,0.0891134588883785,0.0891134588883785,0.08084519981626091,0.070118895338835,0.09304815074855827,-0.067234025598119,0.0,50,0.08,-0.0406592366306827
scenario,partial_hic_fallback,0.5,0.25,inversion,5890,3691,0.6794567062818336,0.0,0.054838709677419356,0.057724957555178265,0.05205210090502023,0.06397434188252038,0.0,0.0,50,0.54,0.0005016789093392
scenario,partial_hic_fallback,0.5,0.3,duplication,2502,2015,0.6654676258992805,0.09272581934452438,0.09272581934452438,0.08713029576338929,0.0767027822688517,0.0988236690445101,-0.07098112131383325,0.0,50,0.08,-0.02824838698788265
scenario,partial_hic_fallback,0.5,0.3,inversion,7279,4279,0.6803132298392637,0.0,0.05907404863305399,0.06168429729358428,0.056385313668155045,0.06744567509082978,0.0,0.0,50,0.64,0.00084990171777805
scenario,partial_hic_fallback,1.0,0.03,duplication,72,70,0.7916666666666666,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.002455951882905767,0.07456602147476155,-0.0160230923983549,0.0,50,0.04,-0.02017404228991895
scenario,partial_hic_fallback,1.0,0.03,inversion,197,181,0.7715736040609137,0.0,0.03553299492385787,0.04568527918781726,0.024218569045282967,0.08453118286820814,0.0,0.0,50,0.72,0.00319407970041185
