scenario,model_key,alpha,p_event,seed,trajectory_id,trajectory_key,precursor_event_id,precursor_step,precursor_event_type,precursor_chromosome,precursor_left_lox_copy_id,precursor_right_lox_copy_id,terminal_event_id,terminal_step,terminal_chromosome,terminal_left_lox_copy_id,terminal_right_lox_copy_id,terminal_missing_gate_genes,events_until_failure,same_chromosome_as_terminal,immediate_predecessor,final_pair_exists_before,final_pair_exists_after,final_pair_activated,final_pair_distance_before,final_pair_distance_after,distance_change,final_pair_lethal_before,final_pair_lethal_after,final_pair_lethality_activated,final_pair_buffered_after,proposal_probability_before,proposal_probability_after,proposal_probability_change,proposal_probability_increased,proposal_log2_ratio_nonzero,final_pair_lethal_hazard_before,final_pair_lethal_hazard_after,final_pair_lethal_hazard_increased,cascade_mechanism,total_hazard_sampled,total_lethal_pair_probability_before,total_lethal_pair_probability_after,total_lethal_hazard_before,total_lethal_hazard_after,total_lethal_hazard_increased,total_hazard_log2_ratio_nonzero,cascade_score,proposal_probability_fold_change_nonzero
scenario_083,partial_hic_fallback,2.0,0.12,2079310279,750,scenario_083:750,1,2,inversion,SynII,SynII_loxPsym_190@0,SynII_loxPsym_226@0,4,18,SynII,SynII_loxPsym_81@0,SynII_loxPsym_111@0,S000000233;S000000242;S000000253,3,True,False,True,True,False,30.0,30.0,0.0,True,True,False,False,2.330870984330075e-05,2.330870984330075e-05,0.0,False,0.0,1.2361291528682894e-06,1.2361291528682894e-06,False,no_direct_effect_on_final_pair,True,0.671261117225128,0.6809814674287837,0.0355989431318698,0.0361144417735195,True,0.0207414597670107,0.0,1.0
scenario_067,partial_hic_fallback,1.5,0.03,3807846787,1268,scenario_067:1268,1,10,inversion,SynII,SynII_loxPsym_23@0,SynII_loxPsym_84@0,3,15,SynII,SynII_loxPsym_106@0,SynII_loxPsym_110@0,S000000253,2,True,False,True,True,False,4.0,4.0,0.0,True,True,False,False,0.0002287241883529,0.0002287241883529,0.0,False,0.0,3.032478407105411e-06,3.032478407105411e-06,False,no_direct_effect_on_final_pair,True,0.6624941017870032,0.6720264098917853,0.0087835006562748,0.0089098822108702,True,0.0206103201860243,0.0,1.0
scenario_075,partial_hic_fallback,1.5,0.2,1091403980,1348,scenario_075:1348,1,5,inversion,SynII,SynII_loxPsym_218@0,SynII_loxPsym_257@0,2,8,SynII,SynII_loxPsym_162@0,SynII_loxPsym_181@0,S000000340;S000000344;S000000346;S000000347;S000000356;S000000357;S000000358;S000000359,1,True,True,True,True,False,19.0,19.0,0.0,True,True,False,False,2.9432512676882395e-05,2.9432512676882395e-05,0.0,False,0.0,2.601487255668981e-06,2.601487255668981e-06,False,no_direct_effect_on_final_pair,True,0.6624941017870032,0.6720048758646142,0.0585566710418321,0.0593973113849139,True,0.0205640905564879,0.0,1.0
scenario_069,partial_hic_fallback,1.5,0.07,2312135107,3994,scenario_069:3994,1,13,inversion,SynII,SynII_loxPsym_202@0,SynII_loxPsym_229@0,2,15,SynII,SynII_loxPsym_41@0,SynII_loxPsym_48@0,S000000130;S000000131;S000000136;S000000137,1,True,True,True,True,False,7.0,7.0,0.0,True,True,False,False,6.891689673679177e-05,6.891689673679177e-05,0.0,False,0.0,2.132004517767302e-06,2.132004517767302e-06,False,no_direct_effect_on_final_pair,True,0.6624941017870032,0.671995066194146,0.0204948348646412,0.0207887555139783,True,0.0205430304916847,0.0,1.0
scenario_078,partial_hic_fallback,2.0,0.03,1713891987,7820,scenario_078:7820,1,7,inversion,SynII,SynII_loxPsym_24@0,SynII_loxPsym_181@0,2,20,SynII,SynII_loxPsym_20@0,SynII_loxPsym_228@0,S000000100;S000000110;S000000114;S000000116;S000000122;S000000126;S000000130;S000000131;S000000136;S000000137;S000000146;S000000169;S000000170;S000000172;S000000173;S000000208;S000000215;S000000233;S000000242;S000000253;S000000259;S000000274;S000000283;S000000284;S000000291;S000000292;S000000293;S000000295;S000000306;S000000313;S000000314;S000000325;S000000328;S000000340;S000000344;S000000346;S000000347;S000000356;S000000357;S000000358;S000000359;S000000371;S000000394;S000000396;S000000397;S000000400;S000000402;S000000415,1,True,True,True,True,False,208.0,208.0,0.0,True,True,False,False,4.985749634783719e-06,4.985749634783719e-06,0.0,False,0.0,6.610222652702851e-08,6.610222652702851e-08,False,no_direct_effect_on_final_pair,True,0.671261117225128,0.6807868489533652,0.0088997357829674,0.0090260301464354,True,0.0203290913664749,0.0,1.0
scenario_075,partial_hic_fallback,1.5,0.2,1091403980,1889,scenario_075:1889,3,14,inversion,SynII,SynII_loxPsym_86@0,SynII_loxPsym_122@0,4,17,SynII,SynII_loxPsym_153@0,SynII_loxPsym_219@0,S000000325;S000000328;S000000340;S000000344;S000000346;S000000347;S000000356;S000000357;S000000358;S000000359;S000000371;S000000394;S000000396;S000000397;S000000400;S000000402;S000000415,1,True,True,True,True,False,66.0,66.0,0.0,True,True,False,False,1.0281008040855056e-05,1.0281008040855056e-05,0.0,False,0.0,9.087199481518334e-07,9.087199481518334e-07,False,no_direct_effect_on_final_pair,True,0.6599993211789656,0.6693454171965814,0.0583361618373089,0.0591622465806337,True,0.0202863683965549,0.0,1.0
scenario_071,partial_hic_fallback,1.5,0.1,920122771,6021,scenario_071:6021,1,1,inversion,SynII,SynII_loxPsym_241@0,SynII_loxPsym_258@0,4,15,SynII,SynII_loxPsym_92@0,SynII_loxPsym_96@0,S000000233,3,True,False,True,True,False,4.0,4.0,0.0,True,True,False,False,0.0001249089809776,0.0001249089809776,0.0,False,0.0,5.520240927086322e-06,5.520240927086322e-06,False,no_direct_effect_on_final_pair,True,0.6624941017870032,0.671861753162095,0.029278335520916,0.0296923305123629,True,0.0202567945652283,0.0,1.0
scenario_062,partial_hic_fallback,1.0,0.15,3687257994,6414,scenario_062:6414,2,10,inversion,SynII,SynII_loxPsym_211@0,SynII_loxPsym_265@0,3,17,SynII,SynII_loxPsym_170@0,SynII_loxPsym_196@0,S000000344;S000000346;S000000347;S000000356;S000000357;S000000358;S000000359;S000000371,1,True,True,True,True,False,26.0,26.0,0.0,True,True,False,False,2.7945425093548054e-05,2.7945425093548054e-05,0.0,False,0.0,1.8525346790783588e-06,1.8525346790783588e-06,False,no_direct_effect_on_final_pair,True,0.6825778581512634,0.692194868573686,0.0452488788115872,0.0458864015995554,True,0.0201846302238841,0.0,1.0
scenario_083,partial_hic_fallback,2.0,0.12,2079310279,3092,scenario_083:3092,1,19,inversion,SynII,SynII_loxPsym_61@0,SynII_loxPsym_86@0,2,20,SynII,SynII_loxPsym_132@0,SynII_loxPsym_146@0,S000000291;S000000292;S000000293;S000000295;S000000306,1,True,True,True,True,False,14.0,14.0,0.0,True,True,False,False,5.512313515824965e-05,5.512313515824965e-05,0.0,False,0.0,2.9233413099522343e-06,2.9233413099522343e-06,False,no_direct_effect_on_final_pair,True,0.671261117225128,0.6807002700549757,0.0355989431318698,0.0360995290531754,True,0.0201456053154111,0.0,1.0
scenario_080,partial_hic_fallback,2.0,0.07,1316201356,413,scenario_080:413,1,4,inversion,SynII,SynII_loxPsym_89@0,SynII_loxPsym_133@0,3,20,SynII,SynII_loxPsym_137@0,SynII_loxPsym_148@0,S000000291;S000000292;S000000293;S000000295;S000000306,2,True,False,True,True,False,11.0,11.0,0.0,True,True,False,False,7.86368131511336e-05,7.86368131511336e-05,0.0,False,0.0,2.43269863907753e-06,2.43269863907753e-06,False,no_direct_effect_on_final_pair,True,0.671261117225128,0.6806991057136681,0.0207660501602574,0.0210580225944349,True,0.0201431375760248,0.0,1.0
