model_key,precursor_event_type,total_hazard_sampled,total_hazard_log2_ratio_nonzero
linear_distance,inversion,True,-0.0020515733241148
linear_distance,inversion,True,6.406853007629834e-16
linear_distance,inversion,True,-0.0007889184220669
linear_distance,duplication,True,-0.1988328878940058
linear_distance,duplication,True,-1.1902798312558285
linear_distance,duplication,True,-0.2916545540759309
linear_distance,inversion,True,3.203426503814917e-16
linear_distance,duplication,True,-0.1693245242785754
linear_distance,inversion,True,-3.203426503814918e-16
linear_distance,duplication,True,-0.0461203679057091
linear_distance,inversion,True,0.0005730141824644
linear_distance,duplication,True,-0.0034860435499972
linear_distance,inversion,True,-0.0016434651844537
linear_distance,inversion,True,0.0003118152481252
linear_distance,inversion,True,0.0006770303954729
linear_distance,duplication,True,-0.0102182304317994
linear_distance,duplication,True,-0.0279760955503321
linear_distance,inversion,True,0.0017793006418931
linear_distance,duplication,True,-0.1866107834285444
linear_distance,duplication,True,-0.0258957567706955
linear_distance,duplication,True,-0.3548921933705394
linear_distance,duplication,True,-0.3869968477471336
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0043361064389672
linear_distance,inversion,True,-0.0002227384284918
linear_distance,inversion,True,9.61027951144475e-16
linear_distance,duplication,True,-0.0367455240302653
linear_distance,inversion,True,0.0
linear_distance,inversion,True,3.203426503814917e-16
linear_distance,duplication,True,-0.004933152035225
linear_distance,inversion,True,0.002134938593054
linear_distance,duplication,True,-0.0065119810502924
linear_distance,duplication,True,-0.0273114869443464
linear_distance,duplication,True,0.0005204877967995
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0002319804385684
linear_distance,duplication,True,-0.0164821770554327
linear_distance,duplication,True,-0.0025655151823473
linear_distance,inversion,True,6.406853007629834e-16
linear_distance,duplication,True,-0.399968290736224
linear_distance,inversion,True,-1.6017132519074588e-16
linear_distance,duplication,True,-0.4012070556772849
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0015457788451708
linear_distance,inversion,True,-0.0007677017799284
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0012350632095991
linear_distance,duplication,True,-0.2523091503160644
linear_distance,inversion,True,0.0004801929523466
linear_distance,inversion,True,-0.0014479363033702
linear_distance,inversion,True,-0.0108843093390408
linear_distance,duplication,True,-0.2933409327113451
linear_distance,duplication,True,-0.0065119810502924
linear_distance,duplication,True,0.0002873292727621
linear_distance,duplication,True,-0.0133354563959354
linear_distance,inversion,True,0.0
linear_distance,inversion,True,-0.00046075202109
linear_distance,inversion,True,-0.0006966525664165
linear_distance,duplication,True,-1.2467646334874918
linear_distance,duplication,True,-0.0030596380829744
linear_distance,duplication,True,-0.0418862136765739
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0555861392387928
linear_distance,duplication,True,-0.000668884001487
linear_distance,duplication,True,-0.2021959743965287
linear_distance,inversion,True,0.0019523364949165
linear_distance,inversion,True,-3.203426503814918e-16
linear_distance,inversion,True,0.0004076265296935
linear_distance,inversion,True,0.0013838344383613
linear_distance,inversion,True,0.0019389320490125
linear_distance,inversion,True,-0.000172014291012
linear_distance,duplication,True,-0.9144664430945316
linear_distance,inversion,True,0.0037671799093754
linear_distance,inversion,True,0.0006685687394367
linear_distance,duplication,True,-0.1290114148307336
linear_distance,duplication,True,-0.2997926452363452
linear_distance,duplication,True,-0.0610272254352764
linear_distance,duplication,True,-0.0012240908020401
linear_distance,inversion,True,0.0002082798030831
linear_distance,duplication,True,-0.0125494260638157
linear_distance,inversion,True,-0.0026944093748389
linear_distance,duplication,True,-0.0156359305688621
linear_distance,duplication,True,-0.280340549253225
linear_distance,duplication,True,-0.0225858396137846
linear_distance,duplication,True,-0.0002319804385684
linear_distance,inversion,True,-0.0010446412514561
linear_distance,duplication,True,-0.6118828577863309
linear_distance,inversion,True,-0.0009409884147907
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0075032936369811
linear_distance,inversion,True,0.0001175617419872
linear_distance,duplication,True,-0.0006375494318265
linear_distance,inversion,True,-0.0034763416272374
linear_distance,duplication,True,-0.2417197619655657
linear_distance,inversion,True,0.0
linear_distance,inversion,True,-0.00221684908751
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0009838157178443
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0088197380780674
linear_distance,duplication,True,-0.2523079802347031
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0004309634435445
linear_distance,duplication,True,-0.0195158137487088
linear_distance,inversion,True,0.0003745891044596
linear_distance,duplication,True,-2.02256138428395
linear_distance,inversion,True,0.0
linear_distance,inversion,True,-0.0068435102937658
linear_distance,duplication,True,-0.3255425865875188
linear_distance,inversion,True,-0.0044328956529392
linear_distance,inversion,True,-0.0020726811345314
linear_distance,duplication,True,-0.4726405079094724
linear_distance,duplication,True,-0.0062483922311972
linear_distance,inversion,True,0.2048896505129283
linear_distance,inversion,True,0.0038938324147422
linear_distance,inversion,True,-0.0011274305934498
linear_distance,duplication,True,-0.1342952834392552
linear_distance,inversion,True,-0.0009816744470676
linear_distance,duplication,True,-0.0010105000176782
linear_distance,duplication,True,-0.1203771954060889
linear_distance,inversion,True,6.406853007629834e-16
linear_distance,duplication,True,-0.0009591106153932
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0040619170920126
linear_distance,duplication,True,-0.194084854275223
linear_distance,duplication,True,-0.0939404581907926
linear_distance,inversion,True,-0.0050094974899265
linear_distance,inversion,True,0.0003118152481245
linear_distance,inversion,True,-0.0003142773003053
linear_distance,duplication,True,0.0004850338490705
linear_distance,duplication,True,-0.1107522555988815
linear_distance,inversion,True,-0.0024921184304509
linear_distance,duplication,True,0.0175970476016012
linear_distance,inversion,True,-0.0034783081579884
linear_distance,duplication,True,-0.4231397979478776
linear_distance,inversion,True,6.406853007629834e-16
linear_distance,duplication,True,-0.1587454208624383
linear_distance,duplication,True,-0.0113643586135552
linear_distance,duplication,True,-0.0394902893339153
linear_distance,duplication,True,-0.0626279355371027
linear_distance,inversion,True,-0.0006793763153786
linear_distance,inversion,True,7.435368750893827e-05
linear_distance,inversion,True,0.0008764636458729
linear_distance,duplication,True,-0.0836619010163046
linear_distance,duplication,True,-1.0778130211342198
linear_distance,inversion,True,0.0003862711351481
linear_distance,inversion,True,-0.001237453651765
linear_distance,duplication,True,-0.0053701045792567
linear_distance,inversion,True,-9.610279511444756e-16
linear_distance,inversion,True,0.0026817014575667
linear_distance,inversion,True,-0.0009835270794595
linear_distance,duplication,True,-0.0099579316259988
linear_distance,inversion,True,0.0014152385796175
linear_distance,duplication,True,-0.2368114617949074
linear_distance,duplication,True,-0.0071793093408955
linear_distance,inversion,True,0.0009668845262396
linear_distance,duplication,True,-0.0017850937056112
linear_distance,duplication,True,-0.040367946073881
linear_distance,duplication,True,-0.031395767147111
linear_distance,duplication,True,-0.243866278906841
linear_distance,duplication,True,-0.9125544518373716
linear_distance,inversion,True,0.0029118417531905
linear_distance,duplication,True,-0.0407790237869884
linear_distance,duplication,True,-0.2365566291593197
linear_distance,duplication,True,-0.0637062457689164
linear_distance,inversion,True,0.0
linear_distance,inversion,True,3.203426503814917e-16
linear_distance,duplication,True,-0.1313207541399225
linear_distance,duplication,True,-0.7876735648467222
linear_distance,inversion,True,-0.0025980072285296
linear_distance,duplication,True,-0.1724312155029158
linear_distance,duplication,True,-0.1807453394598609
linear_distance,inversion,True,0.0011266716071334
linear_distance,duplication,True,-0.0351106859043551
linear_distance,inversion,True,-0.0004863290692985
linear_distance,inversion,True,-0.0043406766728672
linear_distance,inversion,True,0.0006770303954722
linear_distance,duplication,True,0.0018578928900374
linear_distance,inversion,True,-0.000454539641052
linear_distance,inversion,True,-0.0010446412514561
linear_distance,duplication,True,0.0010287334221461
linear_distance,duplication,True,-0.2911293034649784
linear_distance,inversion,True,0.0004906345057196
linear_distance,duplication,True,-0.3010064225794551
linear_distance,inversion,True,0.0016866044532753
linear_distance,inversion,True,-0.000518471585068
linear_distance,inversion,True,-0.0027886870479479
linear_distance,duplication,True,-0.0773696798024619
linear_distance,duplication,True,-0.022746955332616
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.3743967244878571
linear_distance,duplication,True,-0.0026034134824627
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0164821770554329
linear_distance,duplication,True,-0.287228500836684
linear_distance,inversion,True,0.0003745891044596
linear_distance,inversion,True,-0.0009737741735838
linear_distance,inversion,True,-0.0002353249642223
linear_distance,inversion,True,0.0015198729107458
linear_distance,duplication,True,-0.2066005336457134
linear_distance,inversion,True,-0.0015767792438752
linear_distance,duplication,True,-0.2310943856027529
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0
linear_distance,inversion,True,-0.0006246692526532
linear_distance,inversion,True,0.0029192770236204
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0218043579175467
linear_distance,inversion,True,0.000454396477592
linear_distance,duplication,True,-0.1495089086900598
linear_distance,inversion,True,0.0017508727561702
linear_distance,duplication,True,-0.026145227560739
linear_distance,duplication,True,-1.5579070757922435
linear_distance,duplication,True,-1.132749174083962
linear_distance,inversion,True,0.0008448151197755
linear_distance,duplication,True,-0.0986205100226193
linear_distance,duplication,True,-0.0324199157462926
linear_distance,duplication,True,-0.7541638649044139
linear_distance,duplication,True,0.0023310154985028
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.0064623770974513
linear_distance,duplication,True,-0.0001460796691804
linear_distance,duplication,True,0.0005204877967995
linear_distance,duplication,True,-0.027334026887261
linear_distance,duplication,True,-0.0021453748684344
linear_distance,duplication,True,-0.091752750610478
linear_distance,inversion,True,0.0051711845936503
linear_distance,inversion,True,0.0
linear_distance,duplication,True,-0.2015641056357171
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0023824160389092
linear_distance,inversion,True,0.0002914762004839
linear_distance,inversion,True,0.0030640250128886
linear_distance,inversion,True,-0.0003731996770267
linear_distance,duplication,True,-0.1028906660821315
linear_distance,duplication,True,-0.027334026887261
linear_distance,duplication,True,-0.0697976809622162
linear_distance,inversion,True,0.2591503683789126
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.001981953850494
linear_distance,inversion,True,0.0001657300907133
linear_distance,duplication,True,-0.009309367049773
linear_distance,duplication,True,-0.026145227560739
linear_distance,duplication,True,0.0003828988532039
linear_distance,duplication,True,-0.2300944121049092
linear_distance,duplication,True,-0.1080377954365185
linear_distance,duplication,True,-0.0691691730558375
linear_distance,duplication,True,-0.0010105000176781
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0
linear_distance,inversion,True,-0.0010571499649167
linear_distance,duplication,True,-0.500775355401656
linear_distance,inversion,True,-0.0021103470149264
linear_distance,duplication,True,-0.0004727756255435
linear_distance,inversion,True,0.0
linear_distance,inversion,True,0.0
linear_distance,inversion,True,-0.0008341619721777
linear_distance,duplication,True,-0.4969823976563043
linear_distance,duplication,True,-0.4972357132063832
linear_distance,duplication,True,-0.0061871789069599
linear_distance,duplication,True,-0.011362745551423
linear_distance,duplication,True,-0.0190560688552283
linear_distance,inversion,True,0.0
linear_distance,inversion,True,-0.0006966525664158
linear_distance,inversion,True,0.001160207106097
linear_distance,inversion,True,0.0011687387498274
linear_distance,duplication,True,-0.3471606879271122
linear_distance,inversion,True,0.0009119192828905
linear_distance,inversion,True,0.0003568245220743
linear_distance,duplication,True,-0.1248168636403221
linear_distance,inversion,True,0.0036008248864169
linear_distance,inversion,True,-0.0008072786695962
linear_distance,duplication,True,-0.009309367049773
linear_distance,inversion,True,0.0023442825413306
linear_distance,duplication,True,-0.0270852381728799
linear_distance,duplication,True,-0.0178840469148572
linear_distance,duplication,True,-0.0381251411257718
linear_distance,inversion,True,0.0003247007860619
linear_distance,inversion,True,-0.0026021435577885
