robustness_index,analysis_family,gate_name,model_key,alpha,p_event,seed,endpoint_type,rarefied_survivor_depth,rarefaction_replicates,unique_endpoints_mean,effective_shannon_mean,effective_shannon_ci_low,effective_shannon_ci_high,inverse_simpson_mean
27,essentiality_gate_sensitivity,random_control_1,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1793.61,75.99435072510838,72.35769326659943,81.03553376251587,3.910099851544021
27,essentiality_gate_sensitivity,random_control_1,linear_distance,2.0,0.09,202606,structural,4843,100,3580.11,1082.4774727503325,1034.8247867026098,1127.810917201052,23.683163652065062
28,essentiality_gate_sensitivity,random_control_1,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,2235.99,182.64230549290681,172.7144889966825,192.08118030713445,6.166273299487541
28,essentiality_gate_sensitivity,random_control_1,linear_distance,2.0,0.12,202606,structural,4843,100,4080.62,2118.70748287266,2026.5749251436184,2196.792233807745,67.19297589292884
29,essentiality_gate_sensitivity,random_control_2,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1825.23,80.71588021781466,75.57790064530163,85.13919407520913,4.02019690183398
29,essentiality_gate_sensitivity,random_control_2,linear_distance,2.0,0.09,202606,structural,4843,100,3595.83,1089.1772853708462,1046.4495913363562,1141.3300288481885,23.727797160256227
30,essentiality_gate_sensitivity,random_control_2,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,2278.47,191.55761502599708,179.76317973300084,202.580022762745,6.303194667312477
30,essentiality_gate_sensitivity,random_control_2,linear_distance,2.0,0.12,202606,structural,4843,100,4084.84,2121.0108775603476,2042.6701327471721,2189.318287550847,66.98030764581229
31,essentiality_gate_sensitivity,random_control_3,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1779.2,73.43899514530295,68.54330557505935,78.29596879924458,3.8472227689054095
31,essentiality_gate_sensitivity,random_control_3,linear_distance,2.0,0.09,202606,structural,4843,100,3550.22,1032.8528797509882,980.1157862562778,1079.6013216414176,22.38135556237829
32,essentiality_gate_sensitivity,random_control_3,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,2231.25,177.26161964216564,169.0476272808587,185.33220210356373,6.037362707859051
32,essentiality_gate_sensitivity,random_control_3,linear_distance,2.0,0.12,202606,structural,4843,100,4076.83,2110.0775790649936,2039.7772723641503,2185.7811078289087,66.50577059758808
33,essentiality_gate_sensitivity,random_control_4,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1771.69,75.91538992212143,70.86201164052991,80.82727254089116,3.9295571921884096
33,essentiality_gate_sensitivity,random_control_4,linear_distance,2.0,0.09,202606,structural,4843,100,3561.11,1056.0714942152642,998.3407895392753,1121.434433380528,23.025439495088268
34,essentiality_gate_sensitivity,random_control_4,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,2232.22,181.31995131185883,173.1331493937743,192.99236013624588,6.140771391269039
34,essentiality_gate_sensitivity,random_control_4,linear_distance,2.0,0.12,202606,structural,4843,100,4078.09,2149.1140877320904,2080.888745677761,2210.8486721442264,69.99259764306987
35,essentiality_gate_sensitivity,random_control_5,linear_distance,2.0,0.09,202606,orf_copy_number,4843,100,1780.65,75.56844358960073,70.63566929905362,79.75801343163442,3.9096070822505826
35,essentiality_gate_sensitivity,random_control_5,linear_distance,2.0,0.09,202606,structural,4843,100,3551.13,1037.5732808747534,991.0634900061524,1070.0010060086934,22.529412655078822
36,essentiality_gate_sensitivity,random_control_5,linear_distance,2.0,0.12,202606,orf_copy_number,4843,100,2220.48,178.6587835897043,168.50368786306382,190.19128470818492,6.095585355796638
36,essentiality_gate_sensitivity,random_control_5,linear_distance,2.0,0.12,202606,structural,4843,100,4066.08,2086.8210975454285,2023.8917677968054,2152.3264095856885,65.20610912186343
