"analysis_family","model_key","alpha","p_event","gate_name","seed","robustness_index","run_subdir","return_code","elapsed_seconds","log_file","command"
"essentiality_gate_sensitivity","linear_distance","2.0","0.12","strict","202606","22","robustness/scenarios/robustness_022","0","123.19731370000045","outputs/revised_model/robustness/logs/robustness_022.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""strict"",""--run-subdir"",""robustness/scenarios/robustness_022"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.09","high_confidence","202606","23","robustness/scenarios/robustness_023","0","105.02441910000016","outputs/revised_model/robustness/logs/robustness_023.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""high_confidence"",""--run-subdir"",""robustness/scenarios/robustness_023"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.12","high_confidence","202606","24","robustness/scenarios/robustness_024","0","120.34717520000049","outputs/revised_model/robustness/logs/robustness_024.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""high_confidence"",""--run-subdir"",""robustness/scenarios/robustness_024"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.09","expanded","202606","25","robustness/scenarios/robustness_025","0","101.8788753000008","outputs/revised_model/robustness/logs/robustness_025.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""expanded"",""--run-subdir"",""robustness/scenarios/robustness_025"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.12","expanded","202606","26","robustness/scenarios/robustness_026","0","117.64716550000048","outputs/revised_model/robustness/logs/robustness_026.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""expanded"",""--run-subdir"",""robustness/scenarios/robustness_026"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.09","random_control_1","202606","27","robustness/scenarios/robustness_027","0","104.92912299999989","outputs/revised_model/robustness/logs/robustness_027.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""random_control_1"",""--run-subdir"",""robustness/scenarios/robustness_027"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.12","random_control_1","202606","28","robustness/scenarios/robustness_028","0","118.81587360000049","outputs/revised_model/robustness/logs/robustness_028.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""random_control_1"",""--run-subdir"",""robustness/scenarios/robustness_028"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.09","random_control_2","202606","29","robustness/scenarios/robustness_029","0","103.03505310000037","outputs/revised_model/robustness/logs/robustness_029.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""random_control_2"",""--run-subdir"",""robustness/scenarios/robustness_029"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.12","random_control_2","202606","30","robustness/scenarios/robustness_030","0","121.05879410000125","outputs/revised_model/robustness/logs/robustness_030.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""random_control_2"",""--run-subdir"",""robustness/scenarios/robustness_030"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.09","random_control_3","202606","31","robustness/scenarios/robustness_031","0","106.09201109999958","outputs/revised_model/robustness/logs/robustness_031.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""random_control_3"",""--run-subdir"",""robustness/scenarios/robustness_031"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.12","random_control_3","202606","32","robustness/scenarios/robustness_032","0","121.86609820000012","outputs/revised_model/robustness/logs/robustness_032.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""random_control_3"",""--run-subdir"",""robustness/scenarios/robustness_032"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.09","random_control_4","202606","33","robustness/scenarios/robustness_033","0","104.78215009999985","outputs/revised_model/robustness/logs/robustness_033.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""random_control_4"",""--run-subdir"",""robustness/scenarios/robustness_033"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.12","random_control_4","202606","34","robustness/scenarios/robustness_034","0","122.6453263000003","outputs/revised_model/robustness/logs/robustness_034.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""random_control_4"",""--run-subdir"",""robustness/scenarios/robustness_034"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.09","random_control_5","202606","35","robustness/scenarios/robustness_035","0","106.35976310000115","outputs/revised_model/robustness/logs/robustness_035.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.09"",""--gate-name"",""random_control_5"",""--run-subdir"",""robustness/scenarios/robustness_035"",""--reuse-gate-files""]"
"essentiality_gate_sensitivity","linear_distance","2.0","0.12","random_control_5","202606","36","robustness/scenarios/robustness_036","0","110.75662499999999","outputs/revised_model/robustness/logs/robustness_036.log","[""python"",""scripts/revised_model/run_revised_simulation.py"",""--project-root"",""."",""--output-root"",""outputs/revised_model"",""--n-trajectories"",""10000"",""--n-steps"",""20"",""--seed"",""202606"",""--model-key"",""linear_distance"",""--alpha"",""2.0"",""--p-event"",""0.12"",""--gate-name"",""random_control_5"",""--run-subdir"",""robustness/scenarios/robustness_036"",""--reuse-gate-files""]"
