scenario_index,model_key,alpha,p_event,seed,gate_passing_trajectories,common_rarefied_depth,provenance_unique_endpoints,unlabeled_topology_unique_endpoints,unique_inflation_ratio,provenance_effective_shannon,unlabeled_topology_effective_shannon,effective_shannon_inflation_ratio,copy_identity_normalized_unique_endpoints,copy_identity_unique_inflation_ratio,copy_identity_normalized_effective_shannon,copy_identity_effective_shannon_inflation_ratio,reference_alias_normalized_unique_endpoints,reference_alias_unique_inflation_ratio,reference_alias_normalized_effective_shannon,reference_alias_effective_shannon_inflation_ratio,provenance_inverse_simpson,unlabeled_topology_inverse_simpson,provenance_rarefied_effective_shannon_mean,unlabeled_topology_rarefied_effective_shannon_mean,paired_rarefied_effective_shannon_inflation_mean,paired_rarefied_effective_shannon_inflation_ci_low,paired_rarefied_effective_shannon_inflation_ci_high,copy_identity_normalized_rarefied_effective_shannon_mean,copy_identity_paired_rarefied_inflation_mean,copy_identity_paired_rarefied_inflation_ci_low,copy_identity_paired_rarefied_inflation_ci_high,reference_alias_normalized_rarefied_effective_shannon_mean,reference_alias_paired_rarefied_inflation_mean,reference_alias_paired_rarefied_inflation_ci_low,reference_alias_paired_rarefied_inflation_ci_high,unlabeled_topology_rarefied_ci_low,unlabeled_topology_rarefied_ci_high,topology_groups_merging_multiple_provenance_ids,max_provenance_ids_per_topology,fraction_trajectories_in_merged_topology_groups
21,linear_distance,1.0,0.25,92951844,2370,1144,2340,2339,1.000427533133818,2265.9017944373827,2264.5767782518524,1.0005851054370314,2339,1.000427533133818,2264.5767782518524,1.0005851054370314,2340,1.0,2265.9017944373827,1.0,1702.0909090909095,1701.059963658389,1104.5170587866953,1104.2228832432434,1.0002667566641015,0.9999999999999992,1.0012125302913712,1104.2228832432434,1.0002667566641015,1.0,1.0012125302913712,1104.517058786695,1.0,0.9999999999999996,1.0000000000000009,1088.7088879012792,1121.2043284878287,1,2,0.0008438818565400844
22,linear_distance,1.0,0.3,1561271711,1682,1144,1674,1674,1.0,1662.3407705536786,1662.3407705536786,1.0,1674,1.0,1662.3407705536786,1.0,1674,1.0,1662.3407705536786,1.0,1612.9555302166477,1612.9555302166477,1133.2492465268454,1133.249246526845,1.0000000000000002,1.0,1.000000000000001,1133.2492465268451,1.0000000000000002,1.0,1.000000000000001,1133.2492465268451,1.0000000000000002,1.0,1.000000000000001,1127.4848367157053,1140.708906191941,0,1,0.0
23,linear_distance,1.5,0.03,2576302229,8776,1144,2981,2981,1.0,40.99152368036103,40.99152368036103,1.0,2981,1.0,40.99152368036103,1.0,2981,1.0,40.99152368036103,1.0,2.6281739825497676,2.6281739825497676,20.189434207579055,20.18943420757905,1.0,0.9999999999999996,1.0000000000000007,20.18943420757905,1.0000000000000002,0.9999999999999996,1.0000000000000009,20.18943420757905,1.0000000000000002,0.9999999999999996,1.0000000000000009,16.29075015961485,25.29087023472207,0,1,0.0
24,linear_distance,1.5,0.05,2692316041,8093,1144,4063,4063,1.0,193.71689270112125,193.71689270112125,1.0,4063,1.0,193.71689270112125,1.0,4063,1.0,193.71689270112125,1.0,5.0208951985904,5.0208951985904,70.49124147888195,70.49124147888193,1.0000000000000002,0.9999999999999991,1.000000000000001,70.49124147888193,1.0000000000000002,0.9999999999999991,1.000000000000001,70.49124147888193,1.0000000000000002,0.9999999999999991,1.000000000000001,57.746504999756795,84.92415530969802,0,1,0.0
25,linear_distance,1.5,0.07,1182193551,7363,1144,4585,4585,1.0,548.907255283111,548.907255283111,1.0,4585,1.0,548.907255283111,1.0,4585,1.0,548.907255283111,1.0,9.536935596824478,9.536935596824478,167.26525856944482,167.26525856944477,1.0,0.999999999999999,1.0000000000000009,167.26525856944482,1.0,0.999999999999999,1.0000000000000009,167.26525856944482,1.0,0.999999999999999,1.0000000000000009,143.47718710776832,195.8951918799795,0,1,0.0
26,linear_distance,1.5,0.09,2683194250,6743,1144,4938,4937,1.0002025521571805,1212.8468420052834,1211.3499282014338,1.0012357402010765,4938,1.0,1212.8468420052834,1.0,4937,1.0002025521571805,1211.3499282014338,1.0012357402010765,19.603831685238728,19.578153425764103,319.2201527445606,318.96466874439733,1.0008054434357196,0.999999999999999,1.0057927755087885,319.22015274456055,1.0,0.9999999999999991,1.0000000000000013,318.9646687443972,1.0008054434357196,0.9999999999999991,1.005792775508789,273.30688421501554,365.3012015219983,1,2,0.22571555687379505
27,linear_distance,1.5,0.1,140491699,6433,1144,5026,5026,1.0,1673.3495688669034,1673.3495688669034,1.0,5026,1.0,1673.3495688669034,1.0,5026,1.0,1673.3495688669034,1.0,29.69856062394732,29.69856062394732,423.9933241053872,423.9933241053872,1.0,0.9999999999999991,1.0000000000000009,423.9933241053872,1.0000000000000002,0.9999999999999991,1.0000000000000009,423.9933241053872,1.0000000000000002,0.9999999999999991,1.0000000000000009,374.1158927802765,473.32301917414037,0,1,0.0
28,linear_distance,1.5,0.12,2157732798,5975,1144,5030,5030,1.0,2356.722030105563,2356.722030105563,1.0,5030,1.0,2356.722030105563,1.0,5030,1.0,2356.722030105563,1.0,55.30684692974914,55.30684692974914,578.9865311491625,578.9865311491624,1.0,0.9999999999999991,1.000000000000001,578.9865311491624,1.0000000000000002,0.9999999999999991,1.0000000000000016,578.9865311491624,1.0000000000000002,0.9999999999999991,1.0000000000000016,519.0091869585273,645.3139822692895,0,1,0.0
29,linear_distance,1.5,0.15,426479639,5236,1144,4760,4760,1.0,3234.08076766583,3234.08076766583,1.0,4760,1.0,3234.08076766583,1.0,4760,1.0,3234.08076766583,1.0,163.77357228195942,163.77357228195942,808.8124042221175,808.8124042221175,1.0,0.9999999999999991,1.0000000000000009,808.8124042221175,1.0,0.9999999999999991,1.0000000000000009,808.8124042221175,1.0,0.9999999999999991,1.0000000000000009,745.3860762424016,862.9868923519391,0,1,0.0
30,linear_distance,1.5,0.18,3754543510,4593,1144,4380,4380,1.0,3677.9245603633494,3677.9245603633494,1.0,4380,1.0,3677.9245603633494,1.0,4380,1.0,3677.9245603633494,1.0,530.0281148714856,530.0281148714856,973.2400869172618,973.2400869172618,1.0,0.9999999999999991,1.0000000000000009,973.2400869172619,1.0,0.999999999999999,1.0000000000000009,973.2400869172619,1.0,0.999999999999999,1.0000000000000009,927.1850367456001,1014.917425754702,0,1,0.0
