model_key,model_name,alpha,p_event,seed,initialized_trajectories,sequential_steps,accepted_events,gate_passing_trajectories,gate_failing_trajectories,essentiality_gate_passing_fraction,essentiality_gate_failing_fraction,deletion_events,inversion_events,duplication_events,direct_hic_events,distance_fallback_events,uniform_events,structural_unique_endpoints_full_sample,structural_shannon_full_sample,structural_effective_shannon_full_sample,structural_inverse_simpson_full_sample,orf_unique_endpoints_full_sample,orf_shannon_full_sample,orf_effective_shannon_full_sample,orf_inverse_simpson_full_sample,top_missing_gate_genes,elapsed_seconds,effective_shannon_diversity_mean,effective_shannon_diversity_ci_low,effective_shannon_diversity_ci_high,pareto_optimal,passes_retention_0_50,passes_retention_0_70
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.05,2604182243,10000,20,8720,7374,2626,0.7374,0.2626,3938,3484,1298,6883,1837,0,3531,4.892888538629078,133.33817077964534,4.269772398688474,1500,2.389492521612317,10.90795698579367,1.7902098187582909,S000000371:489;S000000313:467;S000000314:467;S000000306:457;S000000259:453;S000000328:450;S000000274:448;S000000295:447;S000000325:443;S000000291:441;S000000292:441;S000000293:441;S000000283:439;S000000284:439;S000000340:439;S000000242:439;S000000356:438;S000000357:438;S000000358:438;S000000359:438,76.42534500000147,54.23052898641079,44.314558481655155,65.54815658468054,False,True,True
linear_distance,linear-distance sampling,1.5,0.07,1182193551,10000,20,12128,7363,2637,0.7363,0.2637,5400,4936,1792,0,12128,0,4585,6.307929493328046,548.907255283111,9.536935596824478,2149,3.593125098454552,36.347488100961165,2.665875745192257,S000000313:230;S000000314:230;S000000306:225;S000000283:211;S000000284:211;S000000325:211;S000000274:209;S000000295:208;S000000328:206;S000000291:203;S000000292:203;S000000293:203;S000000340:194;S000000344:191;S000000346:191;S000000347:191;S000000356:190;S000000357:190;S000000358:190;S000000359:190,153.42866069999943,166.89697235546532,141.90540075142607,196.65958685052792,False,True,True
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.05,967491237,10000,20,8764,7314,2686,0.7314,0.2686,3956,3510,1298,5068,3696,0,3582,4.889413133789903,132.87557098208202,4.233816717841667,1553,2.38396311412828,10.847808891710638,1.7792455024112388,S000000371:500;S000000325:485;S000000356:483;S000000357:483;S000000358:483;S000000359:483;S000000306:479;S000000313:479;S000000314:479;S000000340:477;S000000328:475;S000000295:474;S000000283:473;S000000284:473;S000000291:470;S000000292:470;S000000293:470;S000000344:467;S000000346:467;S000000347:467,76.89449070000046,54.20990168893558,42.43650442289835,66.77426871854938,False,True,True
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.05,2452768872,10000,20,8486,6981,3019,0.6981,0.3019,3774,3440,1272,2056,6430,0,3319,4.637769554729686,103.3136549522292,3.801440221441967,1358,2.019632603418465,7.53555588755098,1.6010498438467238,S000000325:771;S000000274:771;S000000328:770;S000000306:767;S000000283:763;S000000284:763;S000000313:759;S000000314:759;S000000295:751;S000000291:750;S000000292:750;S000000293:750;S000000259:750;S000000340:743;S000000253:743;S000000344:735;S000000346:735;S000000347:735;S000000356:716;S000000357:716,72.34537269999964,43.29367006259165,34.96672994295041,50.69258493861385,False,True,False
linear_distance,linear-distance sampling,0.5,0.05,1368124422,10000,20,8383,6889,3111,0.6889,0.3111,3820,3307,1256,0,8383,0,3230,4.540485178925515,93.7362679503313,3.65080099299761,1349,1.9987421274604984,7.379767451363063,1.5912719101434023,S000000283:880;S000000284:880;S000000274:879;S000000253:873;S000000291:869;S000000292:869;S000000293:869;S000000259:862;S000000295:860;S000000306:859;S000000313:836;S000000314:836;S000000242:833;S000000233:825;S000000325:825;S000000328:824;S000000344:821;S000000346:821;S000000347:821;S000000340:818,129.85128189999978,40.27157473741078,32.1657033169977,47.69276547884172,False,True,False
linear_distance,linear-distance sampling,1.5,0.09,2683194250,10000,20,14983,6743,3257,0.6743,0.3257,6641,5996,2346,0,14983,0,4938,7.100725637167722,1212.8468420052834,19.603831685238728,2486,4.338977218351955,76.62912438231837,3.612343909578684,S000000291:245;S000000292:245;S000000293:245;S000000328:244;S000000295:242;S000000313:241;S000000314:241;S000000325:239;S000000253:237;S000000340:234;S000000344:234;S000000346:234;S000000347:234;S000000283:233;S000000284:233;S000000208:233;S000000274:233;S000000356:230;S000000357:230;S000000358:230,80.9424900999984,322.07939959030364,275.55858406012584,355.5518183387116,False,True,False
linear_distance,linear-distance sampling,1.0,0.07,1740433454,10000,20,11594,6733,3267,0.6733,0.3267,5047,4752,1795,0,11594,0,4201,6.05676016526276,426.9898170399976,8.139361505965294,1950,3.170589477756557,23.8215224760695,2.275595365350625,S000000340:508;S000000283:506;S000000284:506;S000000313:506;S000000314:506;S000000344:506;S000000346:506;S000000347:506;S000000356:506;S000000357:506;S000000358:506;S000000359:506;S000000233:506;S000000242:505;S000000295:503;S000000259:502;S000000291:502;S000000292:502;S000000293:502;S000000371:494,159.3504015999997,140.38210244556888,121.37070834450502,163.72606890036565,False,True,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.07,3160849969,10000,20,11477,6632,3368,0.6632,0.3368,5002,4694,1781,6548,4929,0,4030,5.925946856826487,374.63299128215766,7.554200172438078,1858,3.1799600634387777,24.04579322659524,2.302760175674673,S000000328:630;S000000325:628;S000000371:626;S000000295:624;S000000306:620;S000000291:618;S000000292:618;S000000293:618;S000000313:618;S000000314:618;S000000344:616;S000000346:616;S000000347:616;S000000340:610;S000000283:608;S000000284:608;S000000253:602;S000000356:602;S000000357:602;S000000358:602,89.24143860000004,126.71306312918233,107.86275440834535,149.852013329192,False,True,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.07,1316201356,10000,20,11466,6597,3403,0.6597,0.3403,5096,4640,1730,10156,1310,0,4044,6.014730059877028,409.41530638056935,8.057674223812754,1817,3.1619209722626627,23.61591790725677,2.2963342418155475,S000000371:669;S000000242:655;S000000233:647;S000000295:642;S000000306:639;S000000291:636;S000000292:636;S000000293:636;S000000253:633;S000000328:628;S000000325:627;S000000313:626;S000000314:626;S000000215:626;S000000259:625;S000000356:623;S000000357:623;S000000358:623;S000000359:623;S000000283:618,166.22903609999958,135.56275484174662,110.32163225646843,159.00067209855874,False,True,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.07,2312135107,10000,20,11697,6526,3474,0.6526,0.3474,5174,4805,1718,9258,2439,0,3990,5.979049104392994,395.0645243688347,7.892126344658898,1750,3.0723407374307685,21.59238567359607,2.2327980602835416,S000000371:680;S000000356:638;S000000357:638;S000000358:638;S000000359:638;S000000328:597;S000000313:595;S000000314:595;S000000394:589;S000000325:587;S000000306:586;S000000340:584;S000000344:581;S000000346:581;S000000347:581;S000000396:577;S000000397:577;S000000415:564;S000000295:559;S000000400:558,91.81884949999947,135.01990510439256,111.09709326794692,160.41602690648335,False,True,False
