model_key,model_name,alpha,p_event,seed,endpoint_type,sample_size,unique_endpoints,shannon_entropy,effective_shannon_diversity,inverse_simpson_diversity,sample_size_standardized
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.12,2199721088,orf_copy_number,4218,1826,4.141966152320594,62.926422832089074,3.44515622319292,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.15,3528955751,structural,3527,3117,7.479611552477767,1771.5524870846675,75.14227811705292,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.15,3528955751,orf_copy_number,3527,1852,4.857525893869479,128.70537710403906,5.074426819990578,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.18,4293388631,structural,2758,2572,7.576336225556446,1951.466120177263,213.0093531223747,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.18,4293388631,orf_copy_number,2758,1686,5.341423042401042,208.8096439414738,7.355520099020424,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.2,992375073,structural,2426,2307,7.560811383646955,1921.40387675758,362.4954422271496,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.2,992375073,orf_copy_number,2426,1542,5.471780958706659,237.88347637238465,8.604371281121615,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.25,1877462373,structural,1744,1711,7.396980730679067,1631.0524017044622,1085.487508922198,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.25,1877462373,orf_copy_number,1744,1299,5.997440483256844,402.3975310708309,17.352441807393873,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.3,1407851898,structural,1164,1156,7.042628778466617,1144.3920090153329,1096.194174757282,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.3,1407851898,orf_copy_number,1164,944,6.056188411912192,426.74575396003735,28.45583231822572,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.03,3083522482,structural,8349,2751,3.4096731258987125,30.2553529515768,2.365596226736661,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.03,3083522482,orf_copy_number,8349,1107,1.5100716939399994,4.527055345114237,1.4016142920427128,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.05,967491237,structural,7314,3582,4.889413133789903,132.87557098208202,4.233816717841667,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.05,967491237,orf_copy_number,7314,1553,2.38396311412828,10.847808891710638,1.7792455024112388,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.07,3160849969,structural,6632,4030,5.925946856826487,374.63299128215766,7.554200172438078,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.07,3160849969,orf_copy_number,6632,1858,3.1799600634387777,24.04579322659524,2.302760175674673,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.09,2440376121,structural,5685,4097,6.747403334298328,851.8439342590739,15.213063307536697,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.09,2440376121,orf_copy_number,5685,1983,3.7670000326058446,43.25012106677856,2.8824396619652,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.1,655664069,structural,5307,3967,6.880084761727423,972.7088047763172,18.14925445269502,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.1,655664069,orf_copy_number,5307,2039,4.090786202275959,59.78687781084034,3.3177295169650494,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.12,2377434645,structural,4817,3960,7.355333206824648,1564.518216699285,36.20177112375556,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.12,2377434645,orf_copy_number,4817,2125,4.55354094021717,94.96808997898772,4.128591445670478,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.15,3687257994,structural,3981,3561,7.684190667109913,2173.7100065012,98.28989524996749,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.15,3687257994,orf_copy_number,3981,2138,5.198976559220161,181.08681537327027,6.046950171411562,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.18,1937718534,structural,3285,3096,7.808356275889355,2461.081769309719,303.76425052779734,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.18,1937718534,orf_copy_number,3285,2015,5.684409356509109,294.2440004121616,8.996518517468681,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.2,4261704054,structural,2941,2822,7.800090661340908,2440.8232559029548,546.2255131038837,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.2,4261704054,orf_copy_number,2941,1962,5.997664791846105,402.4878024172882,12.303093880372607,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.25,2443038446,structural,2162,2136,7.637629148346186,2074.818892942896,1632.0684357541902,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.25,2443038446,orf_copy_number,2162,1655,6.399455941159109,601.5176878153025,24.127870003303585,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.3,1581526928,structural,1562,1556,7.345952259223903,1549.9101790340655,1530.642409033877,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.0,0.3,1581526928,orf_copy_number,1562,1314,6.531325031885329,686.3069879220941,44.57313018378456,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.03,3807846787,structural,8388,2808,3.4969470750731784,33.01450713682952,2.43686157044501,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.03,3807846787,orf_copy_number,8388,1155,1.5901943874444089,4.904702248202527,1.4305131931992368,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.05,2604182243,structural,7374,3531,4.892888538629078,133.33817077964534,4.269772398688474,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.05,2604182243,orf_copy_number,7374,1500,2.389492521612317,10.90795698579367,1.7902098187582909,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.07,2312135107,structural,6526,3990,5.979049104392994,395.0645243688347,7.892126344658898,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.07,2312135107,orf_copy_number,6526,1750,3.0723407374307685,21.59238567359607,2.2327980602835416,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.09,1859482873,structural,5888,4173,6.660789625459162,781.1675234230137,13.705733799513895,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.09,1859482873,orf_copy_number,5888,2013,3.815021165341436,45.3777168076532,2.944102503568822,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.1,920122771,structural,5595,4254,7.072756103893166,1179.394091606183,21.6681687075734,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.1,920122771,orf_copy_number,5595,2118,4.144971784596149,63.11584103767697,3.383655220249252,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.12,1352135446,structural,4949,4054,7.408605854897098,1650.124229880529,38.77565071740792,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.12,1352135446,orf_copy_number,4949,2180,4.696484447530259,109.56132602753694,4.469817337290103,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.15,2004561742,structural,4111,3715,7.787887600513969,2411.218741466593,123.98172588087702,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.15,2004561742,orf_copy_number,4111,2208,5.351492104017188,210.92278191708533,6.692663673109586,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.18,2061484420,structural,3458,3256,7.852121678562015,2571.1837592690167,297.8124128312412,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.18,2061484420,orf_copy_number,3458,2128,5.861810994540853,351.35987901262786,10.300922432299268,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.2,1091403980,structural,3078,2946,7.833792441304249,2524.4852039621856,516.3551340745586,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.2,1091403980,orf_copy_number,3078,2026,5.96810728428814,390.765362632985,11.659550063995267,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.25,1135711084,structural,2217,2193,7.668881077325165,2140.6848438805014,1773.7600144352216,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.25,1135711084,orf_copy_number,2217,1698,6.445923125673168,630.1280959820992,25.24662656729143,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.3,4122858386,structural,1715,1706,7.4337422074543005,1692.1280338954468,1629.4875346260394,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,1.5,0.3,4122858386,orf_copy_number,1715,1444,6.6711951402720215,789.3384110806671,52.22438253520126,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.03,1713891987,structural,8402,2722,3.411878567954862,30.322153014157383,2.3729282308378608,False
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,2.0,0.03,1713891987,orf_copy_number,8402,1079,1.5132572078891586,4.541499336618727,1.4054748084239934,False
