model_key,alpha,p_event,seed,endpoint_type,original_survivor_depth,rarefied_survivor_depth,rarefaction_replicates,unique_endpoints_mean,unique_endpoints_ci_low,unique_endpoints_ci_high,shannon_entropy_mean,shannon_entropy_ci_low,shannon_entropy_ci_high,effective_shannon_diversity_mean,effective_shannon_diversity_ci_low,effective_shannon_diversity_ci_high,inverse_simpson_diversity_mean,inverse_simpson_diversity_ci_low,inverse_simpson_diversity_ci_high
linear_distance,1.5,0.18,3754543510,structural,4593,1144,100,1095.91,1084.95,1105.525,6.880416336849065,6.830977924347594,6.921095250544226,973.2862741787723,926.1035359913374,1013.4296770161517,397.92761634528694,289.8494362644281,526.8878965721336
linear_distance,1.5,0.2,770846889,orf_copy_number,4289,1144,100,860.72,833.75,883.0,5.786947342826678,5.650729421655478,5.89936792477393,326.6966470259511,284.4996720873115,364.80682504738786,20.553452561257068,17.26644766000606,23.78705507388469
linear_distance,1.5,0.2,770846889,structural,4289,1144,100,1115.78,1105.475,1123.525,6.957766616722528,6.91960927249017,6.986971565936435,1051.4662165454104,1011.9247158129938,1082.4385746124035,684.6896395359129,512.6167526260364,847.1380431435033
linear_distance,1.5,0.25,2950421996,orf_copy_number,3311,1144,100,957.57,938.475,977.05,6.281990735813496,6.1813748887523285,6.393782272239186,535.7115699992522,483.6643523961312,598.1146843202748,47.49716343490745,38.10832856892755,60.920124007420206
linear_distance,1.5,0.25,2950421996,structural,3311,1144,100,1136.7,1132.475,1140.525,7.026687081629064,7.014602826425348,7.036400128932415,1126.3115022599968,1112.7659154758953,1137.2868234740085,1083.2443419317476,1015.7142068965514,1128.428628164425
linear_distance,1.5,0.3,2308636446,orf_copy_number,2658,1144,100,1021.17,1006.0,1037.525,6.580677569558275,6.50287771858469,6.6519258658674145,721.6526825043173,667.0602023905221,774.2740410063917,104.6734839472212,80.21720064138809,135.6202563194788
linear_distance,1.5,0.3,2308636446,structural,2658,1144,100,1140.01,1137.0,1143.0,7.034993213422334,7.0277446226972256,7.041074376169533,1135.695591482205,1127.4848367157053,1142.61454525252,1121.750143960386,1090.613333333333,1142.0034904013958
linear_distance,2.0,0.03,624955490,orf_copy_number,9086,1144,100,228.52,203.95,253.575,1.6632078682962643,1.4863103095738763,1.8551440062685518,5.2985606891675205,4.4208766787288685,6.392990215403994,1.611868769841971,1.5191173271269933,1.7187795815564815
linear_distance,2.0,0.03,624955490,structural,9086,1144,100,451.12,421.95,479.67499999999995,3.149047363896708,2.949004530360742,3.3575463762956823,23.4524903516595,19.086943817347795,28.720696198097613,2.8337072232177447,2.589996173273877,3.1228871344699356
linear_distance,2.0,0.05,2715674654,orf_copy_number,8555,1144,100,343.07,313.375,371.0,2.511259708035221,2.3175762220637526,2.7030169112873663,12.384083486314193,10.151062250908911,14.925672479042438,2.190483830506795,2.030795761049149,2.3659669064488114
linear_distance,2.0,0.05,2715674654,structural,8555,1144,100,646.81,617.85,675.525,4.433643423162214,4.251924415971002,4.5877764307423785,84.59045928564063,70.24299513786785,98.27611409064122,5.69951419083446,5.057195630833482,6.313919445810664
linear_distance,2.0,0.07,308999449,orf_copy_number,7988,1144,100,444.69,417.0,470.0,3.2568734090460696,3.0849834510246192,3.4209133835357424,26.074228488386964,21.869527872503134,30.597708192080557,3.024669468923418,2.789111269179901,3.2767971322267573
linear_distance,2.0,0.07,308999449,structural,7988,1144,100,796.25,769.0,824.525,5.346560721479442,5.18433638547639,5.524875226180717,210.6509011673625,178.46280484900518,250.85707704350466,11.999634461273558,10.197862892029926,14.449842512509276
linear_distance,2.0,0.09,3011066200,orf_copy_number,7424,1144,100,536.23,509.475,564.0,3.8861395894722834,3.6984184066463293,4.072107069477144,48.9789663675042,40.38338427218113,58.68050882068972,4.186640792061505,3.7460922933911114,4.647809449481646
linear_distance,2.0,0.09,3011066200,structural,7424,1144,100,887.71,864.95,909.525,5.8644293815196775,5.739097576228879,5.986297173205343,353.136719088826,310.7951348198502,397.9437713809748,22.257920827312876,18.66164106247356,26.52960285791367
linear_distance,2.0,0.1,4101281670,orf_copy_number,7285,1144,100,579.43,542.425,610.0,4.18402076354057,3.954621399724206,4.359773033246646,65.95433414102298,52.176081023178725,78.23942676122142,5.00217324744508,4.37072816462179,5.591807909445747
linear_distance,2.0,0.1,4101281670,structural,7285,1144,100,937.04,913.475,955.5749999999999,6.129541236525295,5.984683781574559,6.229406547290072,460.099601760595,397.30360574563616,507.4542460367514,34.05402469166934,26.5143968055307,40.92070717820766
linear_distance,2.0,0.12,4216611858,orf_copy_number,6805,1144,100,645.35,613.95,678.05,4.593563607606753,4.400773727411608,4.8009674230508095,99.33534449972784,81.51392070846033,121.6290028540746,6.569373316689305,5.743182550712369,7.636507734789239
linear_distance,2.0,0.12,4216611858,structural,6805,1144,100,1002.6,986.475,1021.05,6.464702376924721,6.37218094500811,6.5582339985687295,642.879111529066,585.3680171796492,705.0351822306272,71.68598378075207,55.265713887448534,93.26189886459991
linear_distance,2.0,0.15,3319947148,orf_copy_number,6173,1144,100,749.11,721.95,777.525,5.229044905582111,5.087299231778023,5.360212934663522,187.09562184391964,161.952120255447,212.77026288625223,11.14634091558878,9.756853261489503,12.511337998546908
linear_distance,2.0,0.15,3319947148,structural,6173,1144,100,1073.15,1060.475,1087.0,6.790790617078068,6.725087515308577,6.849297147358167,890.1141303397499,833.0454256983943,943.2223954158022,241.57220719639838,169.65411813780494,334.22863464149356
linear_distance,2.0,0.18,1764842416,orf_copy_number,5557,1144,100,833.28,806.0,856.675,5.69025642150552,5.557358116480137,5.7944318601279985,296.697777672272,259.1373923816497,328.4659302207232,18.49684352029928,15.69898103873397,21.188334435146636
linear_distance,2.0,0.18,1764842416,structural,5557,1144,100,1106.35,1095.475,1115.525,6.923775528307818,6.8828869108055715,6.960284951412486,1016.3675457415878,975.454330561702,1053.9357031105062,537.2257118380046,400.4568643542835,697.8946927095159
linear_distance,2.0,0.2,212422559,orf_copy_number,5255,1144,100,886.56,862.425,908.525,5.978504902042361,5.856014988338728,6.093753883875398,395.6855075204271,349.3391528183718,443.0819917424344,28.00723501577425,22.89397190522435,34.18274519810642
linear_distance,2.0,0.2,212422559,structural,5255,1144,100,1118.49,1111.0,1127.0,6.969013328249203,6.938779370181073,6.996808294630187,1063.2987980545845,1031.511313803504,1093.1386082418614,745.5467385178979,585.5268872957504,911.2283564509877
linear_distance,2.0,0.25,1281578188,orf_copy_number,4468,1144,100,979.48,960.95,999.05,6.426139472784208,6.3492695035967195,6.515341261932768,618.4767892527344,572.0755192906123,675.42498402605,68.99637189924171,56.24751295608841,89.09214578280626
linear_distance,2.0,0.25,1281578188,structural,4468,1144,100,1136.14,1129.475,1141.0,7.025234815086089,7.005061868662061,7.037438988858904,1124.6987767027335,1102.199713873109,1138.4682401127916,1075.0373628585614,955.5705381613884,1132.1245674740483
