model_key,model_name,alpha,p_event,seed,pearson_r,spearman_r,rmse,hotspot_auroc_top10_within_chromosome,hotspot_auprc_top10_within_chromosome,hotspot_positive_fraction,n_sites
linear_distance,linear-distance sampling,2.0,0.12,4216611858,0.3770813807998187,0.10313316129969301,0.013910429208091638,0.48891780524831924,0.11930667325129472,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.15,3319947148,0.3908603294550522,0.08867761915818262,0.013817764213702654,0.5132292344393841,0.12734802541367718,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.18,1764842416,0.40186905563316894,0.09739931354682757,0.01374371778247061,0.4901539796139666,0.13012931957722984,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.2,212422559,0.3970430809965299,0.11071045934690399,0.013776130882900608,0.5350900021687269,0.1439035140516626,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.25,1281578188,0.4045190230161979,0.12904066832516367,0.013725752010436215,0.5176968119713729,0.14480991986403693,0.10860655737704918,488
linear_distance,linear-distance sampling,2.0,0.3,3171143693,0.3983526494271355,0.09953099137683806,0.013767283552388333,0.511689438299718,0.12289981024138438,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.03,1710054020,0.34751939251245734,0.12617300040092488,0.014221283189317093,0.5453047061374973,0.13697644146989382,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.05,2452768872,0.38475245765726146,0.12255645982730812,0.013880859064309968,0.5343526350032531,0.1319448842855351,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.07,1291112168,0.36772234760681294,0.12907277802337633,0.013993367906992214,0.5173931901973542,0.11771260126031755,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.09,1982738802,0.3924638759586764,0.1168958164839767,0.013815059582506742,0.5006506180871828,0.12683290888376855,0.10860655737704918,488
partial_hic_fallback,partially Hi-C-informed sampling with distance-based fallback,0.5,0.1,3581944228,0.40920162074827365,0.12079285865553978,0.01369634057599061,0.5184775536759922,0.1275629772509053,0.10860655737704918,488
